"Tanggal","Jenis","Kategori","Dompet","Nominal (Rp)","Catatan","Kurs USD saat transaksi"
"2026-05-25","Pengeluaran","kebutuhan pokok m","BSI","40000","kebutuhan bulanan",""
"2026-05-26","Pengeluaran","Makanan","Gopay","20000","-",""
"2026-05-26","Pengeluaran","Makanan","BSI","5500","warteg",""
"2026-05-26","Pengeluaran","Makanan","Gopay","6500","warteg",""
"2026-05-26","Pengeluaran","Gojek","Gopay","5500","ke kos",""
"2026-05-27","Pengeluaran","Makanan","BSI","9500","jajan",""
"2026-05-27","Pengeluaran","Makanan","BSI","8000","snack",""
"2026-05-27","Pengeluaran","Makanan","Gopay","9500","makan siang",""
"2026-05-27","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-05-28","Pengeluaran","Makanan","BSI","17500","nasi padang",""
"2026-05-28","Pengeluaran","Gojek","Gopay","5500","-",""
"2026-05-29","Pengeluaran","Makanan","BSI","6000","warteg",""
"2026-05-29","Pengeluaran","Makanan","Gopay","8000","alfamart",""
"2026-05-29","Pengeluaran","Makanan","BSI","9000","snack",""
"2026-05-29","Pengeluaran","Gojek","Gopay","5500","jemput",""
"2026-05-30","Pengeluaran","Makanan","BSI","16000","indomaret",""
"2026-05-30","Pengeluaran","Makanan","BSI","13500","alfamart",""
